baseline,seed,status,accuracy,macro_f1,mcc,brier,train_rows,test_rows,feature_dim,device,epochs,multi_seed_missing
B1_FinBERT_LR,11,PASS,0.234609546297858,0.13324338729366178,0.014055794453747517,0.7991044874327672,10300.0,5929.0,3.0,,,
B2_Technical_LightGBM,11,PASS,0.4057,0.26308648710403854,0.10045827702214263,0.7093379107537934,30000.0,10000.0,28.0,,,
B3_News_Technical_Late_Fusion,11,PASS,0.3867431270028673,0.24363301476056223,0.0727854270574306,0.7071036235115866,10300.0,5929.0,31.0,,,
B4_DLinear,11,PASS,0.4593,0.1839321022850686,0.056497018035181555,0.7031003438673195,30000.0,10000.0,28.0,cuda,3.0,
B1_FinBERT_LR,22,PASS,0.234609546297858,0.13324338729366178,0.014055794453747517,0.7991044874327672,10300.0,5929.0,3.0,,,
B2_Technical_LightGBM,22,PASS,0.382,0.24970670498628406,0.06733507147609433,0.7147568282758775,30000.0,10000.0,28.0,,,
B3_News_Technical_Late_Fusion,22,PASS,0.3992241524709057,0.26672933554050465,0.09517844799116655,0.7082825619508512,10300.0,5929.0,31.0,,,
B4_DLinear,22,PASS,0.428,0.20067224820793328,0.06701425069954664,0.7313460292190399,30000.0,10000.0,28.0,cuda,3.0,
B1_FinBERT_LR,33,PASS,0.234609546297858,0.13324338729366178,0.014055794453747517,0.7991044874327672,10300.0,5929.0,3.0,,,
B2_Technical_LightGBM,33,PASS,0.379,0.27785511164521304,0.08017712486469487,0.7172989981294797,30000.0,10000.0,28.0,,,
B3_News_Technical_Late_Fusion,33,PASS,0.3825265643447462,0.24984563603749707,0.07623534707313769,0.709188676392739,10300.0,5929.0,31.0,,,
B4_DLinear,33,PASS,0.4199,0.20428671500980417,0.04747323896527809,0.7397774240878744,30000.0,10000.0,28.0,cuda,3.0,
B5_Chronos,11,NOT_RUN,,,,,,,,,,True
B5_Chronos,22,NOT_RUN,,,,,,,,,,True
B5_Chronos,33,NOT_RUN,,,,,,,,,,True
B6_TTM,11,NOT_RUN,,,,,,,,,,True
B6_TTM,22,NOT_RUN,,,,,,,,,,True
B6_TTM,33,NOT_RUN,,,,,,,,,,True
B7_MOMENT,11,NOT_RUN,,,,,,,,,,True
B7_MOMENT,22,NOT_RUN,,,,,,,,,,True
B7_MOMENT,33,NOT_RUN,,,,,,,,,,True
B8_LLM_ZeroShot,11,NOT_RUN,,,,,,,,,,True
B8_LLM_ZeroShot,22,NOT_RUN,,,,,,,,,,True
B8_LLM_ZeroShot,33,NOT_RUN,,,,,,,,,,True
B9_LLM_SFT,11,NOT_RUN,,,,,,,,,,True
B9_LLM_SFT,22,NOT_RUN,,,,,,,,,,True
B9_LLM_SFT,33,NOT_RUN,,,,,,,,,,True
B10_LLM_RWSFT,11,NOT_RUN,,,,,,,,,,True
B10_LLM_RWSFT,22,NOT_RUN,,,,,,,,,,True
B10_LLM_RWSFT,33,NOT_RUN,,,,,,,,,,True
B11_LLM_DPO_PROXY,11,NOT_RUN,,,,,,,,,,True
B11_LLM_DPO_PROXY,22,NOT_RUN,,,,,,,,,,True
B11_LLM_DPO_PROXY,33,NOT_RUN,,,,,,,,,,True
B12_FIRE_Fin_FlowV2,11,NOT_RUN,,,,,,,,,,True
B12_FIRE_Fin_FlowV2,22,NOT_RUN,,,,,,,,,,True
B12_FIRE_Fin_FlowV2,33,NOT_RUN,,,,,,,,,,True
