section,method,comparator,metric,value,run_id,seed,split,status,evidence_allowed,source_file,source_sha256,source_row_count,timestamp
data_scale,fnspid_locked_split,none,ticker_count,36,step03,all,all,RUN,True,outputs/manifests/fnspid_dataset_manifest.json,452c142df05be308329480164b2f4a8b6321686d717a38d4486c06cef51da758,1,2026-06-19T19:26:30+00:00
data_scale,fnspid_locked_split,none,aligned_candidate_rows,156098,step03,all,all,RUN,True,outputs/manifests/fnspid_dataset_manifest.json,452c142df05be308329480164b2f4a8b6321686d717a38d4486c06cef51da758,1,2026-06-19T19:26:30+00:00
data_scale,fnspid_locked_split,none,mvp_gate,True,step03,all,all,RUN,True,outputs/manifests/fnspid_dataset_manifest.json,452c142df05be308329480164b2f4a8b6321686d717a38d4486c06cef51da758,1,2026-06-19T19:26:30+00:00
data_scale,fnspid_locked_split,none,aaai_target_gate,False,step03,all,all,RUN,True,outputs/manifests/fnspid_dataset_manifest.json,452c142df05be308329480164b2f4a8b6321686d717a38d4486c06cef51da758,1,2026-06-19T19:26:30+00:00
data_scale,fnspid_processed_cache,none,news_thin_rows,5744672,step03,all,all,RUN,True,outputs/manifests/fnspid_dataset_manifest.json,452c142df05be308329480164b2f4a8b6321686d717a38d4486c06cef51da758,1,2026-06-19T19:26:30+00:00
data_scale,fnspid_processed_cache,none,price_ticker_files,7693,step03,all,all,RUN,True,outputs/manifests/fnspid_dataset_manifest.json,452c142df05be308329480164b2f4a8b6321686d717a38d4486c06cef51da758,1,2026-06-19T19:26:30+00:00
data_scale,fnspid_processed_cache,none,price_rows_from_metadata,29677465,step03,all,all,RUN,True,outputs/manifests/fnspid_dataset_manifest.json,452c142df05be308329480164b2f4a8b6321686d717a38d4486c06cef51da758,1,2026-06-19T19:26:30+00:00
environment,python,none,python_version,3.11.5,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
environment_module_inventory,torch,none,available,True,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
environment_module_inventory,torch,none,version,2.5.1+cu121,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
environment_module_inventory,transformers,none,available,True,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
environment_module_inventory,transformers,none,version,5.8.0,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
environment_module_inventory,accelerate,none,available,True,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
environment_module_inventory,accelerate,none,version,1.13.0,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
environment_module_inventory,pandas,none,available,True,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
environment_module_inventory,pandas,none,version,2.1.1,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
environment_module_inventory,pyarrow,none,available,True,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
environment_module_inventory,pyarrow,none,version,21.0.0,step02,all,all,RUN,True,outputs/audit/repro_env_report.json,c00bb4fc03c13e6f1c6796128b28abff480d5ea02c8b5f3dc704899ede8c53aa,1,2026-06-19T19:26:30+00:00
