split,label_5,count,total,fraction
test,mild_down,11029,46279,0.23831543464638388
test,mild_up,10692,46279,0.23103351412087555
test,neutral,21363,46279,0.4616132587134553
test,strong_down,1431,46279,0.030921152142440417
test,strong_up,1764,46279,0.03811664037684479
train,mild_down,19290,80415,0.23988061928744636
train,mild_up,16573,80415,0.20609339053659143
train,neutral,37918,80415,0.4715289436050488
train,strong_down,3138,80415,0.03902257041596717
train,strong_up,3496,80415,0.043474476154946214
val,mild_down,6808,29404,0.23153312474493265
val,mild_up,7423,29404,0.25244864644266085
val,neutral,12268,29404,0.41722214664671475
val,strong_down,1588,29404,0.054006257652020134
val,strong_up,1317,29404,0.04478982451367161
