date,gross_return,positions,turnover,short_exposure,cost,borrow_cost,daily_return_net
2023-01-03,-0.0113459041031561,4.0,4.0,2.0,0.003,0.0002,-0.0143459041031561
2023-01-04,0.0042322834779396,4.0,4.0,2.0,0.003,0.0002,0.0012322834779396
2023-01-05,0.0011328610902297,5.0,5.0,2.0,0.0037,0.0002,-0.0025671389097702
2023-01-06,0.0001594288569763,4.0,5.0,3.0,0.0038,0.0003,-0.0036405711430236
2023-01-09,0.0046534934465333,5.0,4.0,2.0,0.003,0.0002,0.0016534934465333
2023-01-10,0.0068534621045135,5.0,0.0,1.0,0.0001,0.0001,0.0067534621045135
2023-01-11,0.0065434004151397,5.0,4.0,1.0,0.0029,0.0001,0.0036434004151397
2023-01-12,-0.0002506183819565,4.0,0.0,0.0,0.0,0.0,-0.0002506183819565
2023-01-13,0.0026952691806487,2.0,1.0,0.0,0.0007,0.0,0.0019952691806487
2023-01-17,0.0010425779026542,5.0,2.0,1.0,0.0015,0.0001,-0.0004574220973457
2023-01-18,0.0050648446956818,4.0,2.0,0.0,0.0014,0.0,0.0036648446956818
2023-01-19,0.0050767071290093,4.0,4.0,2.0,0.003,0.0002,0.0020767071290093
2023-01-20,0.0142279499677194,3.0,0.0,0.0,0.0,0.0,0.0142279499677194
2023-01-23,0.0058641651775731,3.0,0.0,1.0,0.0001,0.0001,0.0057641651775731
2023-01-24,-0.0019987403386673,5.0,5.0,1.0,0.0036,0.0001,-0.0055987403386673
2023-01-25,0.0143001907644908,2.0,1.0,0.0,0.0007,0.0,0.0136001907644908
2023-01-26,0.0062839685751063,3.0,0.0,0.0,0.0,0.0,0.0062839685751063
2023-01-27,0.0024374798207654,4.0,0.0,0.0,0.0,0.0,0.0024374798207654
2023-01-30,-0.0037493866194163,3.0,2.0,1.0,0.0015,0.0001,-0.0052493866194163
2023-01-31,0.0158694160495594,5.0,4.0,3.0,0.0031,0.0003,0.0127694160495594
