date,gross_return,positions,turnover,short_exposure,cost,borrow_cost,daily_return_net
2023-01-03,-0.000686683220893,3.0,3.0,1.0,0.0021999999999999,0.0001,-0.002886683220893
2023-01-04,0.0026371041726672,3.0,2.0,1.0,0.0015,0.0001,0.0011371041726672
2023-01-05,-0.0155881953841858,1.0,1.0,0.0,0.0007,0.0,-0.0162881953841858
2023-01-06,-0.0090931631405607,2.0,2.0,2.0,0.0016,0.0002,-0.0106931631405607
2023-01-09,0.0068941032041064,2.0,2.0,1.0,0.0015,0.0001,0.0053941032041064
2023-01-10,0.0071557535791747,4.0,3.0,1.0,0.0021999999999999,0.0001,0.0049557535791747
2023-01-11,0.0101554174869142,3.0,2.0,0.0,0.0014,0.0,0.0087554174869142
2023-01-12,0.0013602724528498,2.0,1.0,0.0,0.0007,0.0,0.0006602724528498
2023-01-13,0.0026952691806487,2.0,0.0,0.0,0.0,0.0,0.0026952691806487
2023-01-17,0.0028731434357069,4.0,5.0,2.0,0.0037,0.0002,-0.000826856564293
2023-01-18,0.0064728329340404,2.0,1.0,1.0,0.0008,0.0001,0.0056728329340404
2023-01-20,-0.0261608931281958,4.0,3.0,2.0,0.0023,0.0002,-0.0284608931281958
2023-01-23,0.0125402920511548,1.0,0.0,0.0,0.0,0.0,0.0125402920511548
2023-01-24,-0.0122149767375631,1.0,1.0,0.0,0.0007,0.0,-0.0129149767375631
